cityName,wellnessCentreName,card_type,count
AHMEDABAD,VEJALPUR,Serving,2177
AHMEDABAD,NAVRANGPURA,Pensioner,3891
AHMEDABAD,"GANDHI NAGAR","Ex MP",19
AHMEDABAD,LALDARWAJA,Pensioner,1562
AHMEDABAD,"RAMBAUG,MANINGAR",Serving,3596
BENGALURU,Banashankari,Serving,4325
BENGALURU,"KA SESHADRIPURAM","Ex MP",31
BENGALURU,"KA SESHADRIPURAM","Freedom Fighter",39
BENGALURU,"KA SHIVAJINAGAR",Serving,5288
BENGALURU,"KA GANGENAHALLI",Serving,10248
BENGALURU,"KA VIJAYANAGAR",Serving,8687
BENGALURU,"KA VIJAYANAGAR",Pensioner,12229
BHOPAL,"VASANT KUNJ BP – 2","Freedom Fighter",1
BHOPAL,"VASANT KUNJ BP – 2",Serving,5153
BHOPAL,INDORE1,Serving,4596
BHUBANESHWAR,"OLD AG COLONY","Freedom Fighter",1
BHUBANESHWAR,"OLD AG COLONY",Serving,7192
BHUBANESHWAR,"KHARAVELA NAGAR",Serving,6100
BHUBANESHWAR,CUTTACK,Pensioner,1984
CHANDIGARH,"CHD Sec 45","Ex MP",46
CHANDIGARH,JAMMU,"Ex MP",4
CHANDIGARH,"Air India",Serving,3
CHANDIGARH,"CGHS WC-2 Jammu",Pensioner,363
CHANDIGARH,AMBALA,Pensioner,7100
CHANDIGARH,AMRITSAR,Pensioner,8727
CHENNAI,MEENAMBAKKAM,Pensioner,10906
CHENNAI,NUNGAMBAKKAM,"Ex MP",18
CHENNAI,PERAMBUR,Pensioner,5444
CHENNAI,RAPURAM,Serving,991
CHENNAI,ROYAPURAM,Pensioner,2531
CHENNAI,ROYAPURAM,Serving,2608
CHENNAI,"Air india",Serving,1
CHENNAI,TIRUNELVELI,Pensioner,1976
CHENNAI,TIRUNELVELI,"Ex MP",9
CHENNAI,TRIPLICANE,"Ex MP",16
CHENNAI,VEPERY,Serving,1163
CHENNAI,ADYAR,Pensioner,5751
CHENNAI,"ANNA NAGAR","Freedom Fighter",20
CHENNAI,GOPALAPURAM,"Freedom Fighter",3
CHENNAI,GOPALAPURAM,Pensioner,2104
CHENNAI,GOPALAPURAM,"Ex MP",64
CHENNAI,GUINDY,"Freedom Fighter",22
CHENNAI,GUINDY,Pensioner,4556
CHENNAI,"K K NAGAR","Freedom Fighter",51
CHENNAI,"K K NAGAR","Ex MP",25
DEHRADUN,"CHAKARATA ROAD","Ex MP",6
"DELHI AND NCR","R K PURAM-IV","Freedom Fighter",1
"DELHI AND NCR","R K PURAM-IV",Jaurnalist,17
"DELHI AND NCR","R K PURAM-IV",Serving,10659
"DELHI AND NCR","RAJOURI GARDEN",Jaurnalist,30
"DELHI AND NCR","RAJOURI GARDEN",Pensioner,7187
"DELHI AND NCR","R K PURAM-V",Jaurnalist,29
"DELHI AND NCR","RAJPUR ROAD",Pensioner,1114
"DELHI AND NCR",JANAKPURI-I,"Freedom Fighter",5
"DELHI AND NCR","ASHOK VIHAR",Jaurnalist,12
